,nr_topics,ngram upper limit,topic_diversity,KL_uniform,KL_vacuous,KL_background
0,5.0,1.0,0.9333333333333333,3.0209683182173226,0.0,0.0
1,5.0,2.0,0.9666666666666667,3.1694877414010616,0.0,0.0
2,5.0,3.0,0.9166666666666666,2.8852102987047394,0.0,0.0
3,10.0,1.0,0.9636363636363636,3.3423434020410925,0.0,0.0
4,10.0,2.0,0.9272727272727272,3.246444949188886,0.0,0.0
5,10.0,3.0,0.9,2.783383764442583,0.0,0.0
6,15.0,1.0,0.95625,3.3586355232147818,0.0,0.0
7,15.0,2.0,0.93125,2.8750498474626482,0.0,0.0
8,15.0,3.0,0.95625,2.506157794103741,0.0,0.0
9,20.0,1.0,0.9666666666666667,3.4430761717422964,0.0,0.0
10,20.0,2.0,0.9333333333333333,3.085639285175618,0.0,0.0
11,20.0,3.0,0.9428571428571428,2.4288971488506426,0.0,0.0
