id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.4678847829819474e+18,2021-12-06 15:52:58+00:00,['1467884782981947399'],@whiteleyclinic Thank you very much - honoured to be joining the excellent team @whiteleyclinic,thank much honoured joining excellent team,False
1.344079449529135e+18,2020-12-30 00:34:47+00:00,['1344079449529135104'],"@DrSergot @amycewilson @ImperialNHS How awful - I’m so sorry to hear this

Sending you and all your family lots of love",awful im sorry hear sending family lot love,False
1.2526913455185388e+18,2020-04-21 20:11:05+00:00,['1252691345518538753'],"Amazing work from @GSTTnhs St Thomas' Hospital staff choir

https://t.co/27QWRmYSDI

@GSTTCharity @BreatheAHR #covidresponse https://t.co/AUQo6Px8fj",amazing work st thomas' hospital staff choir,False
1.1870872045747937e+18,2019-10-23 19:23:39+00:00,['1187087204574793735'],"Thank you @goldstone_tony for excellent talk re: pensions today

Thank you very much for raising awareness and lobbying

Everyone needs to know about this! @Channel4News",thank excellent talk pension today thank much raising awareness lobbying everyone need know,False
1.118617319893291e+18,2019-04-17 20:48:46+00:00,['1118617319893291011'],"Excellent work by our IR Consultant colleague @GSTTnhs 

#venous
#CX2019 https://t.co/hC47pXsgcX",excellent work ir consultant colleague,False
1.1164309673701458e+18,2019-04-11 20:00:59+00:00,['1116430967370145792'],@Dr_PhilippaW,,False
1.1164307506000404e+18,2019-04-11 20:00:07+00:00,['1116430750600040448'],Sensible Europeans @RenewParty @NicolaSturgeon @CarolineLucas https://t.co/JHTIbyuXK7,sensible european,False
1.1153825535177276e+18,2019-04-08 22:34:58+00:00,['1115382553517727745'],@grounds4riots @GSTTnhs @cirse @BSIR_News @ADiamantop @mo_hamady @NHSMillion @Channel4News Narayanan Thulasidasan (@gstt IR Cons) stars in the news package 😂,narayanan thulasidasan ir con star news package,False
1.1153727708278292e+18,2019-04-08 21:56:05+00:00,['1115372770827829248'],"https://t.co/yLHNXd7w2b

Well done @GSTTnhs !

#WorldFirst
#withoutascalpel 
#VenousDisease 

@cirse @BSIR_News @grounds4riots @ADiamantop @mo_hamady @NHSMillion @Channel4News",well done,False
1.1091871815313162e+18,2019-03-22 20:16:46+00:00,['1109187181531316229'],IRs need parity with other medical and surgical specialties in particular with the routine ability to admit patients and review in out patients #withoutascalpel ⁦@ADiamantop⁩ ⁦@mo_hamady⁩ ⁦@grounds4riots⁩ ⁦@DrAAlsafi⁩  https://t.co/1M0TPZ5ExV,irs need parity medical surgical specialty particular routine ability admit patient review patient,False
1.1091850204288e+18,2019-03-22 20:08:11+00:00,['1109185020428800002'],Baston you mean? https://t.co/VGH7iyOLGs,baston mean,False
1.1091845602465464e+18,2019-03-22 20:06:21+00:00,['1109184560246546433'],Fantastic news! https://t.co/CZFvXZ8evv,fantastic news,False
1.1084753475054632e+18,2019-03-20 21:08:11+00:00,['1108475347505463299'],Thank you @mo_hamady it was a real pleasure to be back at my Alma mater @BSIR_News @grounds4riots https://t.co/lqjwwFKgD5,thank wa real pleasure back alma mater,False
1.1066623126839378e+18,2019-03-15 21:03:50+00:00,['1106662312683937793'],"@mo_hamady @BSIR_News @ImperialNHS @imperialcollege Excellent course @mo_hamady thank you very much for the kind invitation 

Hope our trainees all enjoyed it 😊",excellent course thank much kind invitation hope trainee enjoyed,False
