Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1,1,1,1.5641896731525489e+18,2022-08-29 09:54:13+00:00,['1564189673152548864'],How do you want your society? https://t.co/tXZvAp0KIR,how do you want your society ,False
2,2,2,1.5639701572187668e+18,2022-08-28 19:21:57+00:00,['1563970157218766850'],@techpriest So güd, so gd,False
8,8,8,1.562924291271889e+18,2022-08-25 22:06:03+00:00,['1562924291271888896'],@zackferguson Yes, yes,False
9,9,9,1.56283629606989e+18,2022-08-25 16:16:23+00:00,['1562836296069890049'],Twelve years. And this is the state we are in. She is completely right https://t.co/WVh91TjRXb,twelve years and this is the state we are in she is completely right ,False
10,10,10,1.562791235005608e+18,2022-08-25 13:17:20+00:00,['1562791235005607936'],@mikejkemp @StuMaitland @DrMattBilton @Anniedroid_ @Doctors_Vote Yes...please start that engagement process sooner rather than later Mike!,     yesplease start that engagement process sooner rather than later mike,False
11,11,11,1.562790291546878e+18,2022-08-25 13:13:35+00:00,['1562790291546877952'],"@quackophage @teekayoki @StuMaitland @ERunswickBMA Also, @TheBMA absolutely needs to make sure it is working constructively with outside groups, not automatically see them as a threat as it has sometimes done in the past (eg. 2016). @DrPhilBanfield",    also  absolutely needs to make sure it is working constructively with outside groups not automatically see them as a threat as it has sometimes done in the past eg  ,False
12,12,12,1.56278987530419e+18,2022-08-25 13:11:56+00:00,['1562789875304189953'],@quackophage @teekayoki Wasn't aware either. Have supported as I know @StuMaitland and @ERunswickBMA to have been involved (or peripherally involved) and v trustworthy individuals. Shame if this whole thing gets derailed. Clearly  concerns need addressing.,  wasn't aware either have supported as i know  and  to have been involved or peripherally involved and v trustworthy individuals shame if this whole thing gets derailed clearly  concerns need addressing,False
15,15,15,1.5622189022344806e+18,2022-08-23 23:23:05+00:00,['1562218902234480640'],@BeardedGenius That's weird, that's weird,False
16,16,16,1.562133435455574e+18,2022-08-23 17:43:28+00:00,['1562133435455574017'],@MarcusRashford So happy for ye. Keep fighting 👏, so happy for ye keep fighting ,False
17,17,17,1.5621330140328264e+18,2022-08-23 17:41:48+00:00,['1562133014032826369'],"Fantastic thread from the peerless @jburnmurdoch. 
 
Re high sickness rate; staff are suffering from trauma from covid experience, are burnt out, and under huge strain from system overload, these factors should be front and centre https://t.co/uX14H8vlzc","fantastic thread from the peerless  
 
re high sickness rate staff are suffering from trauma from covid experience are burnt out and under huge strain from system overload these factors should be front and centre ",False
