,Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld
0,0,1.5649376150859162e+18,2022-08-31 11:26:17+00:00,['1564937615085916162'],Russian shelling ‘hits kindergarten and public park’ in Kharkiv https://t.co/L7tIDwcoD0,
1,1,1.564937521200513e+18,2022-08-31 11:25:54+00:00,['1564937521200513033'],Nord Stream 1: Russia switches off gas pipeline citing maintenance https://t.co/4CYwjGDOVk,
2,2,1.5647357362257142e+18,2022-08-30 22:04:05+00:00,['1564735736225714176'],,
3,3,1.5647357209667174e+18,2022-08-30 22:04:01+00:00,['1564735720966717449'],,
4,4,1.5645569862172672e+18,2022-08-30 10:13:48+00:00,['1564556986217267200'],Occupiers will keep the explosions in Crimea secret so that Russians do not flee – Ukrainian intelligence https://t.co/sZ1EF4GEBM,
5,5,1.5645561718093292e+18,2022-08-30 10:10:34+00:00,['1564556171809329152'],Ukrainian adviser warns progress will be slow as southern counterattack begins https://t.co/OA3w42sBb6,
6,6,1.5643467920698122e+18,2022-08-29 20:18:34+00:00,['1564346792069812224'],How much longer can we tolerate this price-gouging racket of an energy sector? | Damian Carrington https://t.co/KvDJj3PF75,
7,7,1.5643179467799347e+18,2022-08-29 18:23:56+00:00,['1564317946779934727'],‘Were their owners’ lives turned upside down too?’ What this tower of chairs says about Putin’s war https://t.co/2I7UvgmyKa,
8,8,1.5640630646008095e+18,2022-08-29 01:31:08+00:00,['1564063064600809476'],"‘She has no choice’: Liz Truss faces U-turn on energy if she enters No 10, MPs say https://t.co/vziUxhP3Sq",
9,9,1.5640616907397898e+18,2022-08-29 01:25:40+00:00,['1564061690739789824'],"Worried about the cost of living? You’re a doomsaying lefty, says Liz Truss | Frances Ryan https://t.co/q7lAmN5JEB",
10,10,1.56406064407629e+18,2022-08-29 01:21:31+00:00,['1564060644076290050'],"Liz Truss allowed farmers to pollute England’s rivers after ‘slashing red tape’, say campaigners https://t.co/OWS9AzsuqT",
