id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.5584231887107686e+18,2022-08-13 12:00:16+00:00,['1558423188710768642'],@AVFCOfficial Javea in Spain sat melting in a bar with noisy Spaniards,javea spain sat melting bar noisy spaniard,True,javea spain bar spaniard 
1.5584175361101824e+18,2022-08-13 11:37:49+00:00,['1558417536110182401'],#AstonVilla survived the first 5 minutes without letting in a goal so far an improvement on last week. #UTV,survived first minute without letting goal far improvement last week,True,minute goal improvement week 
1.5562770856685445e+18,2022-08-07 13:52:26+00:00,['1556277085668544512'],I was really depressed after #avfc performance yesterday but watching #MUNBRI I am certain feeling better,really depressed performance yesterday watching certain feeling better,True,performance yesterday feeling 
1.5504658695657882e+18,2022-07-22 13:00:44+00:00,['1550465869565788160'],"@Smithpeteralb72 @eli_mun10 @JohnSen06617426 @19Alvarez_ It was against Birmingham city. He had a free roaming role at villa and the team was built around him but at city last year it was quite the opposite, maybe this year it will change",birmingham city free roaming role villa team built around city last year quite opposite maybe year change,True,city role villa team city year year change 
1.5501070254719468e+18,2022-07-21 13:14:49+00:00,['1550107025471946752'],"@Smithpeteralb72 @eli_mun10 @JohnSen06617426 @19Alvarez_ As a villa fan I have watched him for years it takes a lot to make him angry, he got thumped by a fan and didn't react. He was the most fouled player year after year and rarely reacts. He is very laid back",villa fan watched year take lot make angry got thumped fan react fouled player year year rarely reacts laid back,True,villa fan year take lot fan react player year year 
1.5490336693434532e+18,2022-07-18 14:09:41+00:00,['1549033669343453187'],@SpaJw I live in Spain no Aircon just shutters and fans. Plenty of showers and rest it the afternoon. Just like my cat https://t.co/50B1rnU2FW,live spain aircon shutter fan plenty shower rest afternoon like cat,True,spain shutter fan plenty rest afternoon cat 
1.5478432428083569e+18,2022-07-15 07:19:21+00:00,['1547843242808356865'],Many train journeys in Spain will be free from September until end of year https://t.co/9bZ1qTM2JX,many train journey spain free september end year,True,year 
1.5472907707297997e+18,2022-07-13 18:44:01+00:00,['1547290770729799680'],@AdamBienkov Thankfully Hunt is out,thankfully hunt,True,hunt 
1.545697857604358e+18,2022-07-09 09:14:21+00:00,['1545697857604358144'],@JamesBe44200658 @ricky10yid It was the release value stated in his villa contract he was worth that and more to Aston villa. Any club wanting him had to pay I expect noone imagined it being paid. He is a brilliant footballer but very individual not easy to fit into a team. Villa played around him,release value stated villa contract worth aston villa club wanting pay expect noone imagined paid brilliant footballer individual easy fit team villa played around,True,release value villa contract aston villa club pay noone footballer team villa 
1.5445470161261036e+18,2022-07-06 05:01:19+00:00,['1544547016126103555'],Every time I hear that #pincher is receiving medical support I have to laugh to myself. The high expectations of the #NHS and medical professionals https://t.co/6vhkwCJDwz,every time hear receiving medical support laugh high expectation medical professional,True,time support laugh expectation professional 
