id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.5649281778851226e+18,2022-08-31 10:48:47+00:00,['1564928177885122561'],"Whilst you miss meals so your kids can eat, your MP is enjoying luxury meals that you are funding.",whilst miss meal kid eat mp enjoying luxury meal funding,False
1.5649274261943337e+18,2022-08-31 10:45:48+00:00,['1564927426194333697'],End subsidised food and drink for MPs.,end subsidised food drink mp,False
1.564704418272088e+18,2022-08-30 19:59:38+00:00,['1564704418272088064'],@HopeShiloh2 Not true,true,False
1.564598329337602e+18,2022-08-30 12:58:05+00:00,['1564598329337602049'],@IsabelOakeshott Cite your source,cite source,False
1.5645974702058127e+18,2022-08-30 12:54:40+00:00,['1564597470205812736'],@Ottojizzmark Fuck the poor,fuck poor,False
1.5645925751929897e+18,2022-08-30 12:35:13+00:00,['1564592575192989698'],https://t.co/4O50qwoKQD,,False
1.5642607692434885e+18,2022-08-29 14:36:44+00:00,['1564260769243488257'],We need to review all perks of being an MP https://t.co/Isqqtcvrn2,need review perk mp,False
1.564221684055511e+18,2022-08-29 12:01:25+00:00,['1564221684055511040'],Just another perk of the job whilst you decide between heating or eating. https://t.co/4UjXX0yBkv,another perk job whilst decide heating eating,False
1.5642190476041093e+18,2022-08-29 11:50:57+00:00,['1564219047604109314'],Truth https://t.co/gTmRX971dA,truth,False
1.564215105935614e+18,2022-08-29 11:35:17+00:00,['1564215105935613952'],This is worth a read https://t.co/xbGAWQqcLH,worth read,False
1.5638969572439e+18,2022-08-28 14:31:05+00:00,['1563896957243899904'],Fucking hell https://t.co/5hjMHJKOaV,fucking hell,False
1.5638677161712271e+18,2022-08-28 12:34:53+00:00,['1563867716171227140'],@BobGeor27574923 Privatise the population,privatise population,False
1.563635879121412e+18,2022-08-27 21:13:39+00:00,['1563635879121412103'],https://t.co/QVKR0KsuZT,,False
1.5634828101404754e+18,2022-08-27 11:05:24+00:00,['1563482810140475392'],@RickyDHale Cheaper to sacrifice people,cheaper sacrifice people,False
1.5634664172355625e+18,2022-08-27 10:00:16+00:00,['1563466417235562497'],Mind blown https://t.co/jvQatDTWGa,mind blown,False
1.5634635818357514e+18,2022-08-27 09:49:00+00:00,['1563463581835751425'],"Whilst your granny shivers, MPs will be sat in their pants,  lights blazing, heating cranked right up, aircon on because it's a bit toasty now, all comfortable in the knowledge that the public are funding their lifestyle choices.",whilst granny shiver mp sat pant light blazing heating cranked right aircon bit toasty comfortable knowledge public funding lifestyle choice,False
1.563459599897809e+18,2022-08-27 09:33:10+00:00,['1563459599897808900'],I'm old enough to remember the days when the Tories were telling us to ensure we saved for our retirement. Apparently that was so people could then pass it on to the energy companies,i'm old enough remember day tory telling u ensure saved retirement apparently wa people could pas energy company,False
1.563433965028905e+18,2022-08-27 07:51:19+00:00,['1563433965028904960'],@RhonddaBryant It was no mistake.,wa mistake,False
1.5632515636864246e+18,2022-08-26 19:46:31+00:00,['1563251563686424583'],"From the "" in my day "" posts, I'd say we're already there. https://t.co/BRDZPpBhtt",day post i'd say we're already,False
1.5632415423781317e+18,2022-08-26 19:06:41+00:00,['1563241542378131458'],It is well worth the visit https://t.co/jQnP3uXA8v,well worth visit,False
1.5632389814745375e+18,2022-08-26 18:56:31+00:00,['1563238981474537472'],An important message from our future Prime Minister. https://t.co/8GXGrSWhan,important message future prime minister,False
