id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.563307137887277e+18,2022-08-26 23:27:21+00:00,['1563307137887277057'],@DominicFarrell Woof woof 😂,,woof woof
1.56330522791825e+18,2022-08-26 23:19:45+00:00,['1563305227918249985'],"@Lordflashh3art @afneil Liam Halligan  is the person to listen to on GB news he’s so informed, and impartial",,liam halligan person listen gb news informed impartial
1.5613721581898793e+18,2022-08-21 15:18:26+00:00,['1561372158189879297'],@DrDoyleSays Fascinating read ..,,fascinating read
1.5611392552793293e+18,2022-08-20 23:52:57+00:00,['1561139255279329281'],@thecoastguy Absolutely joyous x,,absolutely joyous x
1.5584822437310382e+18,2022-08-13 15:54:56+00:00,['1558482243731038209'],"@TomPMarshall @Dr_F_Khalil I saw a young man in clinic who told me his mum called an ambulance for him as he was being sick &amp; had abdo pain.He was kept in overnight,had a CT scan &amp; discharged with pain killers he admitted to me he had actually been on a weekend drinking bender. What a waste of resources.",,saw young man clinic told mum called ambulance wa sick amp abdo painhe wa kept overnighthad ct scan amp discharged pain killer admitted actually weekend drinking bender waste resource
1.5546037861145887e+18,2022-08-02 23:03:20+00:00,['1554603786114588674'],@PatrickChristys @GBNEWS Good to hear that Patrick . Take care of you x,,good hear patrick take care x
1.553523722958639e+18,2022-07-30 23:31:33+00:00,['1553523722958639105'],@Baddiel Heaven sent,,heaven sent
1.5530353781809848e+18,2022-07-29 15:11:02+00:00,['1553035378180984835'],@BernieSpofforth It reminds me of The Jetsons,,reminds jetsons
1.5528095080528937e+18,2022-07-29 00:13:31+00:00,['1552809508052893702'],@thecoastguy The Jetsons 😑,,jetsons
1.551858403349242e+18,2022-07-26 09:14:10+00:00,['1551858403349241856'],@GBNEWS Mercy..brilliant To The Point today.,,mercybrilliant point today
1.5518580647263027e+18,2022-07-26 09:12:49+00:00,['1551858064726302721'],@GBNEWS Nope,,nope
1.551670238827221e+18,2022-07-25 20:46:28+00:00,['1551670238827220992'],How about just talk about the things that matter…like the NHS .. Northern Island or immigration..not dress sense.. or Boris Johnson for goodness sake.. anything just waste time.. why??,,talk thing matterlike nh northern island immigrationnot dress sense boris johnson goodness sake anything waste time
1.5516553516568822e+18,2022-07-25 19:47:18+00:00,['1551655351656882177'],"@GBNEWS the young women, and gentleman Mark Steyn has had on his show this evening are such a credit to themselves. Spoke clearly, with intelligence, and passion about their experiences…well done to all involved with the show.",,young woman gentleman mark steyn ha show evening credit spoke clearly intelligence passion experienceswell done involved show
1.5493374284812657e+18,2022-07-19 10:16:42+00:00,['1549337428481265665'],@fromthenorth66 @sophielouisecc That’s good to hear .. thank you,,thats good hear thank
1.5491773296283648e+18,2022-07-18 23:40:32+00:00,['1549177329628364800'],@sophielouisecc Why is no one talking about this? Why are the police not investigating?,,one talking police investigating
1.549172741009539e+18,2022-07-18 23:22:18+00:00,['1549172741009539075'],@KemiBadenoch @TomTugendhat You’re doing great Kemi .. a credit to this government &amp; to your country .,,youre great kemi credit government amp country
1.5472446572388516e+18,2022-07-13 15:40:47+00:00,['1547244657238851585'],"@Mo_Farah @BBC Someone, someday, will make a film of your life, this life. X",,someone someday make film life life x
1.5469533757570458e+18,2022-07-12 20:23:20+00:00,['1546953375757045762'],"@MartinSLewis So deserved Martin ., x",,deserved martin x
